STATION,1,2,3,4,5,6,7,8,9,10,11,12
301,31,28,31,29,29,30,0,0,28,31,30,31
302,30,28,30,30,29,18,31,0,29,31,30,13
303,30,28,30,30,31,30,31,4,29,31,30,28
304,31,28,30,30,21,30,31,4,29,31,30,31
305,31,28,30,30,31,30,31,0,29,31,30,31
306,31,28,30,30,31,30,31,4,29,31,30,31
307,30,25,30,30,31,30,31,4,29,30,24,23
308,31,28,30,30,31,30,31,4,29,31,30,31
309,31,28,31,30,29,30,8,0,0,0,0,0
310,31,28,30,30,31,30,31,4,29,31,30,31
312,30,28,27,30,31,19,14,31,12,26,27,31
313,31,27,30,30,31,30,31,4,29,31,30,31
314,30,28,9,15,31,30,31,4,21,31,0,30
315,31,28,30,30,31,30,31,4,29,31,17,22
316,31,28,30,30,31,30,31,4,29,31,30,31
317,31,28,30,30,31,30,31,4,29,31,30,30
318,31,28,10,14,31,30,31,4,29,31,30,31
319,31,28,30,30,31,30,31,4,29,19,30,31
320,31,28,30,30,31,30,31,4,29,31,30,31
321,31,28,30,30,31,30,31,4,28,31,22,31
322,17,11,28,30,31,21,0,0,0,0,0,0
324,31,28,30,30,29,30,31,4,29,30,30,14
325,31,28,29,30,31,30,31,4,29,31,30,31
327,31,28,30,30,31,30,31,4,29,31,30,31
329,31,28,30,30,31,30,31,4,29,31,30,24
332,31,28,30,30,31,30,31,4,29,31,30,31
333,31,28,29,30,31,30,31,4,29,31,30,28
335,31,28,30,30,31,30,30,2,22,31,28,31
340,31,28,30,30,31,28,31,4,29,31,19,13
348,31,28,30,30,31,30,26,4,29,29,30,31
349,31,28,29,30,31,30,31,4,29,31,30,30
350,29,28,28,30,31,30,31,4,29,30,29,31
351,31,28,30,30,31,30,31,4,29,31,30,25
353,31,28,30,30,31,30,31,4,28,31,30,25
354,30,28,30,30,31,30,31,4,21,21,30,31
355,31,28,30,30,31,30,31,4,29,31,30,31
362,31,28,30,30,31,30,31,4,29,31,30,24
363,25,21,30,30,31,30,29,4,29,20,29,31
382,31,23,30,30,31,30,31,4,29,31,30,31
402,31,28,30,30,31,30,31,0,29,31,30,31
403,31,28,30,30,31,30,31,4,29,31,30,23
404,31,13,26,29,0,30,8,0,0,0,0,0
405,31,28,30,30,31,30,31,4,29,31,30,31
406,19,28,30,30,31,30,31,4,29,31,30,31
407,31,28,30,30,31,30,31,4,29,31,30,31
408,28,28,30,30,31,30,31,4,29,31,28,26
411,30,28,30,30,28,21,31,4,29,31,30,24
412,31,28,30,30,31,30,31,4,29,31,30,31
414,31,28,30,30,21,30,31,4,29,31,30,30
416,31,28,30,30,31,30,31,4,29,31,30,31
418,31,27,31,30,29,30,8,0,0,0,0,0
420,31,28,30,30,31,30,31,4,29,31,30,30
421,31,28,30,30,31,27,31,4,21,0,0,0
424,31,28,30,30,31,30,31,4,29,31,30,31
425,31,28,30,30,31,30,31,4,29,31,30,31
430,31,28,30,30,31,30,31,4,29,31,30,31
431,31,28,30,30,31,30,31,4,29,26,30,31
501,31,28,30,14,22,14,20,4,29,31,27,26
502,31,28,30,30,31,30,31,4,29,30,30,31
503,31,28,30,30,31,30,31,4,29,31,30,31
504,31,28,30,30,31,30,31,4,29,31,30,31
507,26,28,15,14,31,21,31,4,29,29,30,27
508,31,28,30,30,31,30,31,4,29,31,30,13
509,31,28,30,30,27,30,24,4,29,31,30,31
510,31,28,30,30,31,30,30,4,29,31,30,31
511,31,28,30,30,31,30,31,4,28,26,30,31
512,31,28,30,30,31,30,30,4,29,31,30,23
513,31,28,30,30,31,30,31,4,29,31,30,31
601,31,26,26,30,31,29,31,4,29,31,30,29
602,28,22,19,26,31,24,31,4,29,31,30,24
605,31,28,30,30,31,30,31,4,29,31,30,31
606,25,25,30,30,31,30,31,4,29,31,29,23
609,31,28,30,30,31,30,31,4,29,31,28,30
611,20,28,30,30,31,30,31,4,29,30,29,0
612,28,28,30,30,31,30,31,4,29,31,30,31
613,31,28,30,30,31,30,31,4,29,30,30,31
614,31,28,30,30,31,30,31,4,29,31,30,27
615,31,28,30,30,31,27,31,4,0,0,0,0
616,22,28,30,30,31,30,26,0,19,28,28,28
617,31,28,30,30,31,30,31,3,29,31,28,21
619,31,28,30,30,31,30,25,3,21,17,16,17
620,31,28,30,30,31,16,0,4,29,31,30,23
621,22,24,30,30,31,30,31,4,29,31,30,31
622,31,28,30,30,31,17,31,4,29,31,30,31
623,31,28,30,30,31,30,31,4,29,31,30,31
624,31,28,30,30,8,30,31,4,29,26,17,23
625,30,28,30,30,31,30,31,4,29,31,20,16
626,26,22,28,30,27,30,31,4,29,31,27,27
627,20,23,20,30,31,30,31,4,29,31,30,31
628,31,28,30,30,28,0,24,4,21,31,27,17
629,31,28,30,30,31,30,31,4,20,31,30,31
630,31,28,30,23,24,30,30,4,29,31,29,31
631,31,28,30,30,31,25,31,4,20,31,28,31
632,21,28,30,30,31,23,29,4,22,31,30,15
633,31,28,29,30,31,30,31,4,29,31,30,26
634,31,28,30,30,31,30,31,4,29,31,30,26
635,31,28,30,30,31,30,31,4,29,31,30,26
636,31,28,30,30,31,30,31,4,29,31,30,31
637,31,27,31,30,28,30,0,0,0,0,0,0
638,0,0,20,21,29,30,8,0,0,0,0,0
639,0,0,27,30,29,30,2,0,0,0,0,0
641,0,0,18,15,25,30,8,0,0,0,0,0
642,0,3,29,22,8,0,0,0,0,0,0,0
643,0,0,25,30,8,0,0,0,0,0,0,0
644,0,0,19,23,8,0,0,0,0,0,0,0
645,0,2,31,22,8,1,0,0,0,0,0,0
646,0,0,26,28,29,30,8,0,0,0,0,0
647,0,2,24,18,24,21,6,0,0,0,0,0
648,0,0,26,30,28,30,8,0,0,0,0,0
649,0,4,26,25,29,30,8,0,0,0,0,0
650,0,14,31,30,7,0,0,0,0,0,0,0
651,0,1,21,20,7,0,0,0,0,0,0,0
653,0,3,29,19,29,30,8,0,0,0,0,0
654,0,2,24,19,25,21,4,0,0,0,0,0
655,0,0,19,30,29,30,2,0,0,0,0,0
656,0,0,31,30,8,0,0,0,0,0,0,0
657,0,10,31,20,29,30,7,0,0,0,0,0
658,0,6,26,21,14,14,5,0,0,0,0,0
659,0,0,26,19,26,27,6,0,0,0,0,0
660,0,0,26,19,8,0,0,0,0,0,0,0
661,0,6,28,30,29,29,6,0,0,0,0,0
662,0,9,29,26,29,30,8,0,0,0,0,0
663,0,9,31,30,13,0,7,0,0,0,0,0
665,0,3,31,30,29,30,2,0,0,0,0,0
667,0,2,31,30,29,30,2,0,0,0,0,0
669,0,0,22,30,29,30,2,0,0,0,0,0
670,0,2,31,30,24,14,2,0,0,0,0,0
671,0,0,12,30,29,30,2,0,0,0,0,0
672,0,2,31,30,28,30,2,0,0,0,0,0
674,0,0,28,30,27,0,0,0,0,0,0,0
702,31,28,31,30,29,30,2,0,0,0,0,0
703,31,28,29,30,31,30,31,4,29,31,30,30
704,31,28,30,30,31,30,31,4,16,31,30,31
711,24,28,28,30,31,30,24,4,15,10,0,0
712,31,28,30,30,21,30,29,0,29,31,30,24
713,31,28,30,30,21,30,31,4,26,31,30,29
714,31,28,30,30,21,30,31,4,29,31,30,31
715,12,28,31,30,29,30,2,0,0,0,0,0
716,31,23,31,30,26,30,1,0,0,0,0,0
